@relation kd1000-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,41-50,>60,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {Partnerschaft,ledig}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Montag,Mittwoch,Dienstag,Freitag,Samstag,Donnerstag}
@attribute Einkaufsuhrzeit {'10-12 Uhr','<10 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'> 25 km','< 10 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {2000-<3200,>4500,1000-<2000,<1000,3200-<4500}
@attribute Stammkunde {'1 bis 5',0,'> 5'}
@attribute Einkaufssumme numeric
@attribute Elektrowerkzeuge numeric
@attribute Eisenwaren numeric
@attribute Handwerkzeuge numeric
@attribute Sanitaermaterial numeric
@attribute Schliesstechnik numeric
@attribute Fliesen numeric
@attribute Farben numeric
@attribute Armaturen numeric
@attribute Renovierung numeric
@attribute Elektromaterial numeric
@attribute Baustoffe numeric
@attribute Holz numeric
@attribute Bodenbelag numeric
@attribute Leuchten numeric
@attribute Aktionsware numeric

@data
m,31-40,ja,Partnerschaft,nein,Freitag,'14-17 Uhr','< 10 km',1000-<2000,0,592,?,?,22,?,?,?,?,?,192,108,156,?,?,111,273
m,>60,nein,ledig,nein,Freitag,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',176,?,4,24,?,20,?,?,?,?,?,161,?,?,?,?
m,31-40,ja,ledig,ja,Mittwoch,'14-17 Uhr','< 10 km',<1000,'> 5',340,?,6,?,129,?,114,?,?,10,?,?,?,?,?,90
m,18-30,ja,Partnerschaft,ja,Donnerstag,'12-14 Uhr','< 10 km',<1000,'1 bis 5',44,?,?,4,?,?,?,?,?,?,?,?,?,?,?,40
w,>60,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',3200-<4500,0,506,90,21,18,?,32,?,16,?,62,61,318,?,?,1,?
m,18-30,nein,Partnerschaft,ja,Donnerstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',411,?,20,36,?,68,?,?,?,50,?,309,?,?,?,?
m,41-50,ja,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',343,?,12,11,?,?,?,?,?,?,?,292,?,?,?,?
m,41-50,ja,ledig,nein,Freitag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',613,?,?,16,114,?,?,138,59,345,?,?,?,?,?,?
m,>60,ja,ledig,ja,Freitag,'<10 Uhr','< 10 km',>4500,'> 5',109,?,?,?,44,?,80,?,?,?,?,?,?,?,?,65
w,>60,ja,Partnerschaft,nein,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',489,?,30,?,69,27,114,?,?,9,21,119,?,?,18,92
m,18-30,ja,ledig,ja,Samstag,'12-14 Uhr','< 10 km',3200-<4500,'> 5',846,?,?,30,56,?,116,?,165,74,?,58,78,306,?,244
m,18-30,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',192,?,4,3,?,81,?,?,?,?,?,75,?,?,30,74
w,31-40,ja,ledig,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',436,?,?,?,56,?,16,48,?,90,148,?,4,?,60,?
m,31-40,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',58,48,10,?,?,?,?,?,?,?,?,?,?,?,?,?
w,31-40,ja,Partnerschaft,nein,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'> 5',544,?,15,12,?,81,68,?,?,?,?,?,?,158,?,249
w,18-30,ja,ledig,nein,Dienstag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',463,66,?,?,129,?,?,?,243,70,?,34,?,?,?,164
m,18-30,ja,ledig,nein,Donnerstag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',652,44,?,?,44,?,?,?,?,135,?,?,?,?,?,429
m,18-30,ja,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,'1 bis 5',929,78,?,6,114,?,111,?,?,180,?,468,15,68,?,?
m,31-40,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',2000-<3200,0,25,?,?,?,?,?,?,?,?,?,?,?,?,?,25,?
w,>60,nein,ledig,nein,Dienstag,'>17 Uhr','> 25 km',2000-<3200,0,229,?,14,3,?,46,?,?,65,5,100,?,?,20,9,?
w,>60,ja,ledig,nein,Samstag,'10-12 Uhr','< 10 km',3200-<4500,'> 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
w,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,0,298,?,10,30,62,66,85,?,180,?,106,?,?,?,50,120
m,>60,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',567,70,18,9,64,42,18,?,?,?,153,?,?,?,24,?
m,41-50,ja,Partnerschaft,ja,Donnerstag,'>17 Uhr','> 25 km',1000-<2000,'> 5',78,?,15,?,?,3,?,?,?,30,49,?,?,?,102,?
m,>60,nein,ledig,nein,Dienstag,'<10 Uhr','10 - 25 km',<1000,'1 bis 5',422,?,3,?,?,72,?,?,?,72,?,332,11,?,?,?
m,>60,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,0,419,?,8,14,6,111,?,?,?,165,102,?,27,?,?,266
m,31-40,nein,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',>4500,'1 bis 5',638,?,?,36,?,?,?,?,?,?,?,134,?,?,?,468
w,>60,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'> 5',246,?,12,39,?,?,?,?,?,?,?,207,12,?,?,?
w,18-30,nein,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',<1000,0,86,?,8,?,?,132,?,?,58,?,?,?,?,?,?,?
w,51-60,nein,Partnerschaft,ja,Samstag,'>17 Uhr','10 - 25 km',3200-<4500,0,334,?,9,14,?,42,?,92,?,20,9,224,?,?,?,?
m,18-30,ja,ledig,ja,Freitag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',209,?,7,26,?,78,?,?,?,20,19,?,?,?,?,105
m,18-30,ja,Partnerschaft,ja,Donnerstag,'<10 Uhr','10 - 25 km',<1000,'> 5',439,?,15,?,32,40,225,?,?,21,159,68,?,?,?,?
m,41-50,nein,Partnerschaft,nein,Freitag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',258,?,27,13,?,108,?,?,?,135,90,?,?,51,?,?
w,31-40,nein,Partnerschaft,ja,Freitag,'>17 Uhr','10 - 25 km',>4500,'1 bis 5',72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72
m,18-30,ja,Partnerschaft,ja,Donnerstag,'10-12 Uhr','10 - 25 km',1000-<2000,0,644,?,8,9,?,?,?,?,228,232,?,?,?,20,?,156
m,>60,nein,ledig,ja,Samstag,'12-14 Uhr','< 10 km',2000-<3200,'1 bis 5',341,?,12,12,30,?,?,?,?,?,?,136,48,?,?,115
w,18-30,nein,Partnerschaft,nein,Donnerstag,'14-17 Uhr','< 10 km',3200-<4500,'> 5',606,150,8,36,?,?,?,?,?,?,96,352,?,?,?,?
w,18-30,ja,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',3200-<4500,'1 bis 5',297,?,?,?,?,?,?,?,?,?,?,?,?,297,?,?
m,51-60,nein,ledig,ja,Montag,'10-12 Uhr','> 25 km',1000-<2000,0,252,?,?,?,8,?,141,?,51,?,?,244,?,?,?,?
w,18-30,nein,ledig,nein,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',561,?,18,9,66,78,?,?,96,45,46,381,?,?,?,?
m,18-30,nein,ledig,ja,Freitag,'12-14 Uhr','10 - 25 km',<1000,0,658,?,2,14,22,50,?,?,204,228,29,411,?,?,40,?
m,18-30,nein,ledig,nein,Montag,'14-17 Uhr','< 10 km',>4500,'> 5',373,?,?,?,?,?,?,?,?,120,?,21,?,?,?,232
m,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',343,?,18,36,?,?,53,?,?,?,?,248,?,?,24,?
w,18-30,nein,Partnerschaft,nein,Dienstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',256,?,30,16,?,63,?,?,?,87,?,?,?,67,?,72
m,31-40,ja,ledig,ja,Dienstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',690,234,33,?,62,10,?,42,?,?,?,?,87,?,?,49
w,18-30,ja,ledig,ja,Samstag,'12-14 Uhr','< 10 km',1000-<2000,0,524,?,18,39,?,75,?,?,?,?,?,324,?,?,?,158
w,31-40,ja,ledig,ja,Donnerstag,'<10 Uhr','10 - 25 km',3200-<4500,'1 bis 5',457,?,?,?,?,?,?,?,?,119,41,278,?,?,18,?
w,31-40,ja,ledig,ja,Montag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',137,?,?,?,?,?,?,?,?,?,?,?,?,?,?,137
w,31-40,nein,Partnerschaft,nein,Freitag,'<10 Uhr','< 10 km',<1000,0,603,82,8,7,123,42,87,?,?,30,18,?,?,?,18,102
m,31-40,nein,ledig,nein,Dienstag,'12-14 Uhr','> 25 km',>4500,0,272,?,5,20,?,40,?,?,?,?,?,140,?,?,?,103
m,>60,nein,ledig,ja,Samstag,'<10 Uhr','> 25 km',2000-<3200,'1 bis 5',136,?,2,?,23,23,228,?,74,?,51,?,?,?,45,60
m,41-50,ja,ledig,nein,Dienstag,'>17 Uhr','< 10 km',>4500,'> 5',354,?,4,38,69,23,?,?,?,?,?,87,?,?,?,194
m,41-50,ja,ledig,ja,Montag,'>17 Uhr','< 10 km',<1000,'> 5',489,?,5,?,88,51,23,?,?,?,?,267,?,?,?,114
w,18-30,ja,ledig,ja,Dienstag,'14-17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',279,132,36,16,87,54,318,?,171,?,?,?,24,?,?,?
m,>60,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',382,?,3,6,48,31,148,?,?,?,?,?,?,90,?,234
m,18-30,ja,Partnerschaft,nein,Freitag,'<10 Uhr','10 - 25 km',2000-<3200,'> 5',446,?,?,24,?,?,?,?,?,53,38,98,?,?,48,286
m,>60,nein,Partnerschaft,ja,Donnerstag,'>17 Uhr','< 10 km',<1000,'> 5',249,?,?,11,?,?,?,?,?,?,?,130,?,?,?,108
m,18-30,ja,ledig,ja,Montag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',537,87,7,?,120,?,?,?,1,21,36,?,10,?,64,268
m,18-30,ja,ledig,ja,Donnerstag,'12-14 Uhr','< 10 km',<1000,'> 5',360,?,?,?,14,?,210,?,248,?,1,238,?,?,?,107
w,18-30,nein,Partnerschaft,ja,Montag,'10-12 Uhr','< 10 km',2000-<3200,0,119,?,9,20,27,27,162,56,189,?,?,?,?,?,?,?
m,41-50,ja,ledig,ja,Dienstag,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',325,?,6,12,78,?,89,?,133,39,?,?,?,?,?,?
m,>60,nein,Partnerschaft,nein,Samstag,'12-14 Uhr','< 10 km',3200-<4500,'> 5',104,?,8,?,?,?,?,?,?,68,96,?,?,?,7,?
m,51-60,nein,Partnerschaft,ja,Montag,'>17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',211,?,12,?,?,?,?,?,?,162,?,?,?,?,37,?
m,18-30,ja,ledig,ja,Montag,'<10 Uhr','> 25 km',<1000,'1 bis 5',457,?,6,?,58,29,86,?,?,?,?,?,48,345,?,?
w,41-50,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','10 - 25 km',>4500,'1 bis 5',85,?,?,?,?,?,?,?,?,?,?,46,39,?,?,?
w,31-40,ja,ledig,nein,Samstag,'12-14 Uhr','< 10 km',>4500,'> 5',292,32,?,22,34,?,84,?,90,204,?,?,?,?,?,?
w,31-40,nein,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,0,441,38,?,18,?,?,?,?,?,?,?,184,?,?,?,201
m,18-30,ja,Partnerschaft,ja,Dienstag,'12-14 Uhr','10 - 25 km',>4500,'1 bis 5',558,?,24,21,?,24,?,216,?,318,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Samstag,'10-12 Uhr','< 10 km',2000-<3200,'> 5',885,231,12,36,?,?,?,68,?,48,54,268,?,?,?,222
m,51-60,ja,ledig,ja,Donnerstag,'14-17 Uhr','10 - 25 km',1000-<2000,'> 5',489,?,?,42,?,?,?,?,?,?,?,222,?,?,?,225
m,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',325,?,?,12,?,21,?,?,?,165,58,?,15,?,42,219
m,41-50,ja,Partnerschaft,ja,Mittwoch,'14-17 Uhr','< 10 km',2000-<3200,0,714,?,9,27,183,40,?,?,?,?,84,312,?,?,87,116
m,18-30,ja,ledig,nein,Montag,'<10 Uhr','10 - 25 km',1000-<2000,'> 5',174,?,12,39,?,52,?,40,?,176,94,?,?,?,110,?
w,41-50,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',195,?,?,?,?,?,?,?,?,?,?,31,?,?,?,164
m,41-50,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',593,?,6,?,44,?,?,?,282,54,112,?,?,260,60,104
w,18-30,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','> 25 km',2000-<3200,'> 5',72,?,6,12,?,30,?,?,?,?,?,?,30,?,?,36
m,31-40,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','> 25 km',>4500,'> 5',311,?,15,9,34,?,65,?,46,73,36,91,42,?,?,3
m,18-30,nein,ledig,ja,Montag,'>17 Uhr','> 25 km',2000-<3200,'1 bis 5',680,?,12,7,?,123,?,?,?,?,?,112,?,222,?,324
m,41-50,ja,ledig,nein,Samstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',52,?,?,?,15,?,102,?,?,34,?,3,?,?,?,?
m,>60,ja,ledig,ja,Freitag,'14-17 Uhr','< 10 km',2000-<3200,0,663,?,?,?,?,?,?,?,?,309,?,354,?,?,?,?
m,18-30,nein,Partnerschaft,ja,Montag,'>17 Uhr','10 - 25 km',>4500,'> 5',222,?,?,?,?,?,?,?,?,?,?,222,?,?,?,?
m,31-40,ja,ledig,ja,Mittwoch,'>17 Uhr','> 25 km',1000-<2000,'1 bis 5',726,?,?,?,?,51,180,?,?,?,?,80,46,?,?,369
m,51-60,nein,ledig,nein,Donnerstag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',168,?,?,?,84,?,?,?,?,?,35,?,?,?,29,?
w,>60,ja,ledig,ja,Freitag,'12-14 Uhr','10 - 25 km',1000-<2000,'1 bis 5',263,?,8,32,?,48,?,?,?,?,?,?,?,?,?,207
m,31-40,ja,ledig,ja,Freitag,'14-17 Uhr','10 - 25 km',1000-<2000,'> 5',351,?,8,12,33,23,210,?,?,202,?,?,?,?,?,108
m,18-30,ja,Partnerschaft,ja,Montag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',42,?,7,2,?,33,?,?,?,?,?,?,?,?,?,?
m,41-50,ja,Partnerschaft,nein,Freitag,'<10 Uhr','10 - 25 km',>4500,0,499,?,?,21,56,?,96,?,246,?,?,?,?,?,?,388
m,18-30,ja,Partnerschaft,ja,Montag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',60,?,?,?,22,?,?,?,?,?,?,38,?,?,?,?
m,31-40,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',245,?,3,?,26,?,?,?,70,216,?,?,?,?,?,?
m,31-40,ja,Partnerschaft,ja,Montag,'14-17 Uhr','< 10 km',1000-<2000,0,418,?,6,26,57,?,?,?,237,130,37,180,50,?,51,81
m,51-60,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,'1 bis 5',113,72,12,?,?,?,?,?,?,?,?,29,?,?,?,?
w,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',611,?,?,2,?,?,?,?,?,303,?,260,?,?,46,?
m,18-30,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'> 5',386,?,?,?,?,?,?,?,?,82,99,69,?,?,9,106
m,18-30,ja,Partnerschaft,ja,Montag,'>17 Uhr','< 10 km',2000-<3200,0,469,24,14,20,?,?,?,?,?,176,?,?,?,?,?,255
m,>60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',259,?,4,?,?,38,?,?,?,168,38,?,34,?,45,?
m,31-40,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',147,?,7,8,38,102,?,?,351,?,?,?,?,?,?,102
m,51-60,nein,Partnerschaft,ja,Freitag,'14-17 Uhr','< 10 km',3200-<4500,'1 bis 5',438,?,?,?,?,?,?,?,?,100,36,?,42,?,?,102
m,18-30,ja,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',>4500,'> 5',779,61,?,?,?,?,?,?,?,99,?,384,23,?,?,212
m,>60,nein,ledig,ja,Freitag,'12-14 Uhr','< 10 km',2000-<3200,0,378,?,4,?,18,105,?,?,?,66,53,?,?,42,108,99
m,>60,ja,ledig,nein,Dienstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',509,234,?,?,?,?,?,?,?,93,?,152,30,?,?,?
m,31-40,ja,ledig,nein,Mittwoch,'>17 Uhr','10 - 25 km',<1000,'1 bis 5',680,?,12,8,31,111,?,?,?,41,?,138,?,?,?,188
w,>60,ja,Partnerschaft,nein,Samstag,'<10 Uhr','10 - 25 km',2000-<3200,0,220,?,?,24,?,?,196,?,?,?,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',187,?,18,21,24,?,52,?,321,60,?,?,16,?,?,27
w,18-30,nein,Partnerschaft,nein,Dienstag,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',503,201,?,?,?,?,?,?,?,136,30,186,?,?,?,?
m,51-60,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',>4500,'1 bis 5',840,267,?,?,38,16,56,?,?,222,?,?,12,?,?,285
m,31-40,nein,Partnerschaft,nein,Freitag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',136,?,12,?,?,93,?,?,?,?,?,?,?,?,?,109
m,18-30,ja,Partnerschaft,ja,Freitag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',622,?,4,51,90,21,58,?,58,228,?,300,?,?,?,?
m,31-40,nein,Partnerschaft,nein,Dienstag,'10-12 Uhr','10 - 25 km',3200-<4500,'1 bis 5',288,?,?,?,?,?,?,?,?,?,60,?,?,?,58,228
w,18-30,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',3200-<4500,'> 5',215,46,?,22,93,?,94,?,?,54,?,?,?,?,?,?
m,31-40,nein,Partnerschaft,nein,Freitag,'<10 Uhr','10 - 25 km',2000-<3200,'> 5',359,?,18,45,87,17,128,?,?,230,?,?,?,?,?,?
w,>60,ja,ledig,ja,Samstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',39,?,12,?,?,84,?,?,?,?,?,?,17,?,?,?
w,18-30,ja,ledig,nein,Dienstag,'>17 Uhr','< 10 km',<1000,'> 5',198,?,?,?,40,?,?,73,90,?,?,?,?,?,?,?
m,>60,ja,ledig,nein,Samstag,'10-12 Uhr','> 25 km',1000-<2000,'> 5',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,>60,nein,ledig,ja,Samstag,'12-14 Uhr','< 10 km',<1000,'> 5',266,?,14,14,?,30,?,?,?,?,?,144,72,?,36,?
w,31-40,nein,ledig,ja,Donnerstag,'<10 Uhr','< 10 km',2000-<3200,0,58,?,12,?,46,?,94,?,120,?,?,?,?,?,?,?
m,31-40,ja,ledig,ja,Freitag,'10-12 Uhr','> 25 km',1000-<2000,'> 5',341,?,2,?,?,?,?,?,?,?,51,264,?,?,?,?
m,31-40,ja,Partnerschaft,nein,Montag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',523,?,21,13,42,?,90,76,116,?,?,190,?,?,?,46
w,18-30,nein,Partnerschaft,ja,Samstag,'12-14 Uhr','10 - 25 km',3200-<4500,'> 5',1146,273,10,3,?,17,34,?,?,164,?,284,108,?,?,273
w,>60,ja,ledig,nein,Samstag,'14-17 Uhr','< 10 km',>4500,0,315,57,?,?,?,?,?,?,?,?,?,26,?,?,?,232
m,18-30,nein,ledig,nein,Dienstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',175,?,?,?,38,?,198,?,195,41,?,96,?,?,?,?
m,>60,ja,Partnerschaft,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,0,189,?,8,39,?,102,?,?,?,168,?,?,?,?,?,?
m,31-40,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,0,540,?,9,?,117,?,252,72,?,?,?,?,?,?,29,291
m,51-60,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',428,?,?,?,102,?,130,?,234,?,?,141,?,129,?,56
m,41-50,nein,ledig,nein,Montag,'>17 Uhr','> 25 km',1000-<2000,'1 bis 5',51,?,14,?,?,78,?,35,?,?,?,?,?,?,?,?
m,51-60,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',428,?,12,?,?,?,?,?,?,?,4,351,?,?,36,?
m,31-40,nein,ledig,ja,Dienstag,'>17 Uhr','10 - 25 km',<1000,'1 bis 5',679,189,?,?,?,?,?,?,?,34,66,136,?,?,?,?
m,18-30,ja,Partnerschaft,ja,Montag,'10-12 Uhr','< 10 km',2000-<3200,'1 bis 5',33,?,6,?,?,?,?,?,?,?,?,?,27,?,?,?
w,>60,nein,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',>4500,0,1285,?,?,?,?,39,228,66,348,?,117,73,27,?,50,387
m,18-30,ja,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',123,?,14,51,?,?,?,?,?,?,87,?,22,?,?,?
w,18-30,ja,ledig,nein,Freitag,'10-12 Uhr','< 10 km',<1000,'> 5',553,?,6,15,?,?,46,?,?,67,141,282,?,?,22,?
m,18-30,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'> 5',569,354,?,?,?,?,?,31,?,?,51,?,105,?,?,?
m,18-30,nein,ledig,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,0,145,?,3,?,38,?,75,?,144,?,?,?,?,?,?,104
w,31-40,nein,ledig,ja,Mittwoch,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',588,?,6,10,?,56,?,?,?,189,?,360,?,?,?,?
m,31-40,ja,Partnerschaft,ja,Samstag,'<10 Uhr','10 - 25 km',<1000,'1 bis 5',184,?,?,?,?,?,?,?,?,88,?,?,?,?,?,96
w,41-50,nein,Partnerschaft,ja,Dienstag,'<10 Uhr','< 10 km',2000-<3200,'> 5',235,?,?,?,123,?,93,?,91,37,?,?,75,?,?,?
m,31-40,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','10 - 25 km',2000-<3200,'1 bis 5',439,?,3,36,?,?,?,?,105,243,?,?,?,?,?,88
m,18-30,nein,Partnerschaft,ja,Donnerstag,'12-14 Uhr','10 - 25 km',2000-<3200,'1 bis 5',105,?,18,10,?,63,?,?,?,?,?,?,?,?,?,?
w,>60,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',783,?,?,?,?,?,?,117,?,120,?,546,?,?,?,?
m,31-40,ja,ledig,nein,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',753,30,?,?,100,?,?,?,180,?,?,207,111,?,23,282
m,>60,ja,Partnerschaft,nein,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,0,457,?,4,?,?,90,?,?,?,95,?,358,?,?,?,?
w,18-30,ja,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',427,?,10,38,135,102,249,?,126,282,?,?,?,?,?,?
m,18-30,nein,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,0,480,96,3,10,43,?,29,37,?,?,57,?,42,122,?,80
m,51-60,nein,Partnerschaft,ja,Montag,'10-12 Uhr','> 25 km',>4500,'1 bis 5',284,?,8,?,?,?,?,?,?,?,186,?,?,?,36,?
w,31-40,ja,Partnerschaft,ja,Donnerstag,'>17 Uhr','< 10 km',<1000,'1 bis 5',545,91,12,39,40,66,?,?,154,120,150,243,?,?,?,?
w,18-30,nein,Partnerschaft,ja,Dienstag,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',159,?,3,?,?,78,?,?,?,?,21,114,15,?,?,6
w,>60,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',444,?,12,?,?,102,204,?,?,?,?,103,32,?,?,?
w,41-50,ja,ledig,ja,Freitag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',279,?,?,?,?,?,?,?,?,65,108,126,?,?,?,45
m,31-40,ja,Partnerschaft,ja,Montag,'10-12 Uhr','> 25 km',<1000,'1 bis 5',344,?,9,1,108,?,99,?,76,148,106,?,28,?,?,93
m,>60,nein,ledig,ja,Montag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',190,?,27,?,?,?,?,?,?,?,120,?,?,?,70,?
m,>60,ja,ledig,ja,Freitag,'<10 Uhr','< 10 km',2000-<3200,'> 5',519,58,?,?,?,5,?,32,242,?,?,58,26,?,?,98
w,18-30,nein,ledig,ja,Mittwoch,'10-12 Uhr','10 - 25 km',2000-<3200,'> 5',564,34,?,12,?,?,?,?,348,51,74,?,48,?,?,?
m,>60,nein,ledig,nein,Freitag,'<10 Uhr','< 10 km',1000-<2000,0,167,14,21,?,?,87,?,?,?,81,26,?,30,?,24,?
m,>60,nein,ledig,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',195,93,6,?,?,60,?,?,?,?,?,?,?,?,58,?
w,41-50,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',148,?,14,10,?,46,?,?,?,?,?,?,?,?,?,134
m,18-30,nein,Partnerschaft,ja,Montag,'12-14 Uhr','10 - 25 km',>4500,'> 5',232,?,4,15,68,38,63,?,?,?,?,?,?,?,?,160
w,18-30,nein,ledig,ja,Freitag,'>17 Uhr','> 25 km',1000-<2000,'1 bis 5',705,84,?,14,?,?,78,?,?,108,?,226,?,?,?,195
m,31-40,nein,Partnerschaft,nein,Dienstag,'10-12 Uhr','< 10 km',3200-<4500,'> 5',148,?,4,?,?,60,?,?,?,51,48,?,?,?,64,90
w,51-60,nein,ledig,ja,Donnerstag,'>17 Uhr','< 10 km',2000-<3200,0,1064,198,?,?,?,?,?,13,?,91,?,417,36,?,?,309
m,18-30,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','10 - 25 km',2000-<3200,0,331,57,?,?,?,?,?,?,?,?,88,?,?,?,69,?
w,41-50,ja,ledig,nein,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',550,?,?,?,?,?,?,?,?,?,?,222,28,?,?,300
